Brand,Model,Body,Mileage,EngineV,Engine Type,Registration,Year,Price
BMW,320,sedan,277,2,Petrol,yes,1991,4200
Mercedes-Benz,Sprinter 212,van,427,2.9,Diesel,yes,1999,7900
Mercedes-Benz,S 500,sedan,358,5,Gas,yes,2003,13300
Audi,Q7,crossover,240,4.2,Petrol,yes,2007,23000
Toyota,Rav 4,crossover,120,2,Petrol,yes,2011,18300
Mercedes-Benz,GLS 63,crossover,0,5.5,Petrol,yes,2016,199999
BMW,320,sedan,438,2,Gas,yes,1997,6100
Audi,A6,vagon,200,2.7,Diesel,yes,2006,14200
Renault,Megane,vagon,193,1.5,Diesel,yes,2012,10799
Volkswagen,Golf IV,other,212,1.8,Gas,no,1999,1400
Renault,Megane,vagon,177,1.5,Diesel,yes,2011,11950
Renault,19,sedan,260,1.79,Petrol,yes,1994,2500
Audi,A6 Allroad,vagon,165,2.7,Gas,yes,2003,9500
Volkswagen,Passat B6,sedan,100,1.8,Petrol,yes,2008,10500
Toyota,Land Cruiser 100,crossover,250,4.7,Gas,yes,2001,16000
Renault,Clio,hatch,84,1.5,Diesel,yes,2012,8600
BMW,318,other,203,2,Petrol,no,2001,2990
Mercedes-Benz,Vito,van,240,2.2,Diesel,yes,2007,NA
Toyota,Rav 4,crossover,21,2,Petrol,yes,2013,26500
Audi,A6,vagon,250,2.5,Diesel,no,1998,3500
Toyota,Hilux,other,0,2.4,Diesel,yes,2016,38233
Volkswagen,Polo,hatch,132,1.4,Diesel,yes,2006,7500
Audi,A6,sedan,225,2.4,Gas,yes,1998,6800
Mitsubishi,Outlander,crossover,130,2.4,Gas,yes,2006,10500
Audi,A8,sedan,163,4.2,Diesel,yes,2008,24900
Volkswagen,Touareg,crossover,151,3,Diesel,yes,2008,20800
Audi,A6,sedan,330,2.4,Petrol,yes,1999,6500
Mercedes-Benz,Vito,other,171,2.2,Other,no,2011,13566
Mitsubishi,Colt,hatch,65,1.3,Petrol,yes,2010,8500
Mercedes-Benz,GLS 500,crossover,0,4.6,Petrol,yes,2016,NA
Audi,100,sedan,1,2.3,Gas,yes,1989,2900
BMW,Z4,other,72,3,Petrol,yes,2007,21500
Mitsubishi,Pajero Wagon,crossover,87,3.8,Gas,yes,2008,17900
BMW,X5,crossover,160,4.8,Gas,yes,2008,28500
Volkswagen,Caddy,van,160,1.9,Diesel,yes,2009,9800
Toyota,Camry,sedan,147,2.4,Gas,yes,2006,14500
BMW,528,sedan,300,2.8,Petrol,yes,1996,6000
BMW,X5,crossover,1,2.5,Diesel,yes,2016,67500
Audi,TT,other,14,1.8,Petrol,yes,2014,33900
Audi,A4,sedan,180,NA,Petrol,no,2000,2500
Mercedes-Benz,Vito,van,230,2.15,Diesel,yes,2004,9800
Mercedes-Benz,G 55 AMG,crossover,86,5.5,Petrol,yes,2009,63000
BMW,528,sedan,326,2.8,Petrol,yes,1998,7700
Mercedes-Benz,Vito,van,30,2.2,Diesel,yes,2006,9600
Toyota,Camry,sedan,181,2.4,Petrol,yes,2008,12800
BMW,X6,crossover,80,3,Petrol,yes,2012,41000
Mitsubishi,Galant,sedan,220,2.4,Petrol,yes,1987,2500
BMW,525,sedan,231,2.5,Petrol,yes,1990,3700
Mercedes-Benz,S 500,sedan,134,5,Petrol,yes,2008,29500
BMW,528,sedan,335,2.8,Petrol,yes,1996,6500
Mercedes-Benz,E-Class,sedan,145,3.2,Diesel,yes,2007,NA
Renault,Kangoo,van,66,1.5,Diesel,yes,2014,8250
Mercedes-Benz,ML 350,crossover,172,3.5,Other,yes,2008,19500
Mercedes-Benz,S 500,sedan,317,5,Petrol,yes,2001,13500
Mercedes-Benz,Vito,van,266,2.2,Diesel,yes,2008,9200
Mercedes-Benz,GLS 350,crossover,0,3,Diesel,yes,2016,NA
Toyota,Camry,sedan,156,NA,Gas,yes,2005,10900
Volkswagen,Passat B6,vagon,265,2,Diesel,no,2006,5000
BMW,X5,crossover,162,4.8,Petrol,yes,2007,23900
BMW,730,sedan,81,3,Diesel,yes,2010,36900
BMW,318,other,253,1.8,Petrol,yes,1995,8900
Renault,Trafic,van,200,1.9,Diesel,yes,2002,7800
BMW,X5 M,crossover,7,4.4,Petrol,yes,2015,133000
BMW,318,sedan,270,1.8,Petrol,no,1995,1650
Mercedes-Benz,S 350,sedan,240,3.5,Petrol,yes,2006,50000
Renault,Trafic,van,245,2,Diesel,yes,2008,9700
Mercedes-Benz,Vito,van,127,2.2,Diesel,yes,2005,9999
Audi,A6 Allroad,crossover,21,3,Petrol,yes,2015,69999
