Brand,Model,Body,Mileage,EngineV,Engine Type,Registration,Year
BMW,320,sedan,277,2,Petrol,yes,1991
Mercedes-Benz,Sprinter 212,van,427,2.9,Diesel,yes,1999
Mercedes-Benz,S 500,sedan,358,5,Gas,yes,2003
Audi,Q7,crossover,240,4.2,Petrol,yes,2007
Toyota,Rav 4,crossover,120,2,Petrol,yes,2011
Mercedes-Benz,GLS 63,crossover,0,5.5,Petrol,yes,2016
BMW,320,sedan,438,2,Gas,yes,1997
Audi,A6,vagon,200,2.7,Diesel,yes,2006
Renault,Megane,vagon,193,1.5,Diesel,yes,2012
Volkswagen,Golf IV,other,212,1.8,Gas,no,1999
